Time,Phase_rad,Amplitude,Phase_angle
2022-01-02 07:33:30,15488186.6788689,43.6314855550676,2.9497798030752
2022-01-02 07:39:00,7902412.32068407,37.6920709547801,-0.105638154512449
2022-01-02 07:39:30,47676769.5132411,46.424795568383,-2.89852574687718
2022-01-02 07:40:00,47678828.5206898,44.4528899122317,1.50732748609691
2022-01-02 07:40:30,47681063.9815618,42.009740611341,0.154230087406615
2022-01-02 07:41:00,47683528.580052,51.0916584222982,1.74407988139609
2022-01-02 07:41:30,4531082.30170318,41.490627203467,0.916542459819522
2022-01-02 07:42:00,47688926.6059938,32.5124726598236,2.51384286288619
2022-01-02 07:42:30,47691943.1522835,43.3361174888962,3.13118507672124
2022-01-02 07:43:00,47695040.0293182,35.0388625960849,2.39786333114149
2022-01-02 07:43:30,14979890.1471945,26.439302879652,-2.74009973831831
2022-01-02 07:44:00,47701902.2000234,28.82039972672,-2.95297213494851
2022-01-02 07:44:30,47705616.526847,50.5300816497845,-1.98866515295337
2022-01-02 07:45:00,15686088.6891062,63.8704535302589,-2.81078849278786
2022-01-02 07:45:30,15923695.050615,52.6805135523304,-1.38485594974712
2022-01-02 07:46:00,16162649.8419103,66.826697606073,-2.41397806434913
2022-01-02 07:46:30,16402682.3090171,56.8852930843842,-0.191976127209473
2022-01-02 07:47:00,16643931.5962909,54.9224623734426,-0.0877568113750993
2022-01-02 07:47:30,16886300.825513,71.0886063130491,1.55142616397331
2022-01-02 07:48:00,47736021.9929224,68.2103063400174,-0.856291129889207
2022-01-02 07:48:30,17374339.9178726,79.7902820022822,0.508235921576365
2022-01-02 07:49:00,17619982.7562139,69.1671689289565,2.21699303881278
2022-01-02 07:49:30,17866753.4600747,52.3962251905938,0.817914335190165
2022-01-02 07:50:00,18114654.2340088,77.1791515585012,-1.48444629459285
2022-01-02 07:50:30,18363483.0267016,69.5584666774045,0.60371158226992
2022-01-02 07:51:00,18613410.6735444,67.5616115084155,1.98859069248882
2022-01-02 07:51:30,18864356.1969947,56.5457540687621,-2.90912780480108
2022-01-02 07:52:00,19116352.205167,58.4992098368636,-0.330885245858141
2022-01-02 07:52:30,19369294.9985778,59.7310294812137,0.271614418475873
2022-01-02 07:53:00,19623224.9906617,52.3660721783977,1.61269402567473
2022-01-02 07:53:30,19878201.7845383,62.4453350280502,0.463619933143451
2022-01-02 07:54:00,20134113.3855149,61.6240163387078,-2.07296491252248
2022-01-02 07:54:30,20390998.4052245,75.7879220916049,1.19864596671291
2022-01-02 07:55:00,20648787.5910119,61.0871691654396,-2.42553491362311
2022-01-02 07:55:30,20907568.7177063,71.5566499312473,-0.568901963779495
2022-01-02 07:56:00,21167048.0507548,52.4807460249773,2.06051594840899
2022-01-02 07:56:30,21427634.5633313,65.7279368014958,-0.25433758299927
2022-01-02 07:57:00,21688932.7953574,72.276980360217,-0.849681137951653
2022-01-02 07:57:30,21951227.0368812,80.454436981395,1.82119444131542
2022-01-02 07:58:00,22214312.5739937,88.2368508798901,-2.17687525200866
2022-01-02 07:58:30,22478219.5360087,80.0663443414737,-1.56413243211096
2022-01-02 07:59:00,22742967.4389906,81.068101019272,-1.95725387383979
2022-01-02 07:59:30,23008508.0787015,83.8301030451553,-1.29499497200401
2022-01-02 08:00:00,23274773.9581308,73.7055175337935,2.04067196686834
2022-01-02 08:00:30,23541968.6177484,88.7564656566314,-2.03808349352166
2022-01-02 08:01:00,23809782.5585062,93.0572040929699,-2.58785890142087
2022-01-02 08:01:30,24078386.3060248,103.003029913517,1.27096305511844
2022-01-02 08:02:00,24347624.3797269,96.1058889152809,-1.4289328004026
2022-01-02 08:02:30,24617687.2889876,98.6279485631211,-2.39054536278094
2022-01-02 08:03:00,24888458.2188529,97.0063133783957,0.951692404104721
2022-01-02 08:03:30,25159842.1178615,81.1241202256702,1.51091328295778
2022-01-02 08:04:00,25431946.087815,97.3419405890729,-0.425231254835243
2022-01-02 08:04:30,25704672.1180711,105.462970589965,-2.33641859196691
2022-01-02 08:05:00,25978009.0708311,96.4384007931467,-2.7940768518126
2022-01-02 08:05:30,26251992.814846,80.7606861328976,2.65461851229911
2022-01-02 08:06:00,26526554.8817069,67.5849504926109,2.0899262892343
2022-01-02 08:06:30,26801692.2529607,56.2341325190349,-1.22342127540811
2022-01-02 08:07:00,27077436.8644029,73.4429308990655,-0.482370010054779
2022-01-02 08:07:30,27353730.4544443,80.3711162215398,2.60015878471644
2022-01-02 08:08:00,27630543.2408289,89.7428794500749,-2.90853495812377
2022-01-02 08:08:30,27907911.356561,95.9069323495245,0.27499700979699
2022-01-02 08:09:00,28185735.9446243,84.6837341322241,1.25833274595236
2022-01-02 08:09:30,28464100.8842544,88.4504404755262,2.23929883384598
2022-01-02 08:10:00,28742862.6162846,84.091093504681,-2.11119462724096
2022-01-02 08:10:30,29022174.378123,79.0496588476486,-3.06900155990208
2022-01-02 08:11:00,29301864.3884081,90.1778755934155,-2.76948031351349
2022-01-02 08:11:30,29581992.2444032,83.9749975803558,1.83596486230411
2022-01-02 08:12:00,29862514.7040768,86.8460359399075,-1.07877118255934
2022-01-02 08:12:30,30143439.7261711,81.9124658682596,2.72823908648107
2022-01-02 08:13:00,30424675.4325082,70.0406229342515,3.06022688210195
2022-01-02 08:13:30,30706340.2313604,80.7606861328976,-1.05505650355663
2022-01-02 08:14:00,30988372.9635607,82.4517732043984,-1.66173960127352
2022-01-02 08:14:30,31270686.7091579,81.1241202256702,2.28482077466196
2022-01-02 08:15:00,31553344.6015217,83.7143674435156,-1.4802295229722
