Time,C1C
2022-01-02 01:09:30,21802855.1377
2022-01-02 01:10:00,21805046.4817
2022-01-02 01:10:30,21807338.8787
2022-01-02 01:11:00,21809733.5177
2022-01-02 01:11:30,21812229.7937
2022-01-02 01:12:00,21814827.3087
2022-01-02 01:12:30,21817527.1537
2022-01-02 01:13:00,21820328.2977
2022-01-02 01:13:30,21823235.6827
2022-01-02 01:14:00,21826235.5787
2022-01-02 01:14:30,21829341.7157
2022-01-02 01:15:00,21832549.8967
2022-01-02 01:15:30,21835858.6547
2022-01-02 01:16:00,21839269.3107
2022-01-02 01:16:30,21842781.7187
2022-01-02 01:17:00,21846395.4137
2022-01-02 01:17:30,21850110.3827
2022-01-02 01:18:00,21853926.1967
2022-01-02 01:18:30,21857843.8237
2022-01-02 01:19:00,21861862.5727
2022-01-02 01:19:30,21865982.2397
2022-01-02 01:20:00,21870202.3157
2022-01-02 01:20:30,21874524.1387
2022-01-02 01:21:00,21878946.1817
2022-01-02 01:21:30,21883469.7317
2022-01-02 01:22:00,21888093.2047
2022-01-02 01:22:30,21892818.3647
2022-01-02 01:23:00,21897642.8707
2022-01-02 01:23:30,21902568.1457
2022-01-02 01:24:00,21907592.7757
2022-01-02 01:24:30,21912718.9807
2022-01-02 01:25:00,21917944.3787
2022-01-02 01:25:30,21923269.5997
2022-01-02 01:26:00,21928694.6787
2022-01-02 01:26:30,21934219.7237
2022-01-02 01:27:00,21939843.6967
2022-01-02 01:27:30,21945567.9407
2022-01-02 01:28:00,21951390.2507
2022-01-02 01:28:30,21957311.9327
2022-01-02 01:29:00,21963333.0737
2022-01-02 01:29:30,21969451.8337
2022-01-02 01:30:00,21975669.7317
2022-01-02 01:30:30,21981986.5647
2022-01-02 01:31:00,21988401.7747
2022-01-02 01:31:30,21994914.3197
2022-01-02 01:32:00,22001524.6717
2022-01-02 01:32:30,22008232.3647
2022-01-02 01:33:00,22015038.5177
2022-01-02 01:33:30,22021941.3617
2022-01-02 01:34:00,22028941.7087
2022-01-02 01:34:30,22036039.0297
2022-01-02 01:35:00,22043232.7857
2022-01-02 01:35:30,22050522.5397
2022-01-02 01:36:00,22057908.9157
2022-01-02 01:36:30,22065391.6577
2022-01-02 01:37:00,22072969.6907
2022-01-02 01:37:30,22080644.0117
2022-01-02 01:38:00,22088413.6567
2022-01-02 01:38:30,22096278.4217
2022-01-02 01:39:00,22104238.5257
2022-01-02 01:39:30,22112292.8427
2022-01-02 01:40:00,22120440.9557
2022-01-02 01:40:30,22128683.8687
2022-01-02 01:41:00,22137020.6467
2022-01-02 01:41:30,22145451.5357
2022-01-02 01:42:00,22153975.6647
2022-01-02 01:42:30,22162592.6957
2022-01-02 01:43:00,22171302.6267
2022-01-02 01:43:30,22180106.0477
2022-01-02 01:44:00,22189001.6137
2022-01-02 01:44:30,22197988.5417
2022-01-02 01:45:00,22207067.7867
2022-01-02 01:45:30,22216239.0177
2022-01-02 01:46:00,22225500.9587
2022-01-02 01:46:30,22234853.7987
2022-01-02 01:47:00,22244297.5257
2022-01-02 01:47:30,22253831.8507
2022-01-02 01:48:00,22263455.9357
2022-01-02 01:48:30,22273169.1657
2022-01-02 01:49:00,22282973.3377
2022-01-02 01:49:30,22292866.0097
2022-01-02 01:50:00,22302847.8177
2022-01-02 01:50:30,22312917.0907
2022-01-02 01:51:00,22323075.5777
2022-01-02 01:51:30,22333322.4947
2022-01-02 01:52:00,22343655.6547
2022-01-02 01:52:30,22354077.3457
2022-01-02 01:53:00,22364585.7877
2022-01-02 01:53:30,22375179.4607
2022-01-02 01:54:00,22385860.6787
2022-01-02 01:54:30,22396627.6847
2022-01-02 01:55:00,22407479.8817
2022-01-02 01:55:30,22418417.6807
2022-01-02 01:56:00,22429440.3177
2022-01-02 01:56:30,22440547.1747
2022-01-02 01:57:00,22451738.8507
2022-01-02 01:57:30,22463013.8457
2022-01-02 01:58:00,22474371.7717
2022-01-02 01:58:30,22485814.2817
2022-01-02 01:59:00,22497338.2247
2022-01-02 01:59:30,22508944.8767
2022-01-02 02:00:00,22520634.6887
2022-01-02 02:00:30,22532404.7527
2022-01-02 02:01:00,22544257.1647
2022-01-02 02:01:30,22556189.8237
2022-01-02 02:02:00,22568202.6557
2022-01-02 02:02:30,22580296.2317
2022-01-02 02:03:00,22592468.7597
2022-01-02 02:03:30,22604721.6947
2022-01-02 02:04:00,22617052.8127
2022-01-02 02:04:30,22629462.4517
2022-01-02 02:05:00,22641951.3077
2022-01-02 02:05:30,22654516.9057
2022-01-02 02:06:00,22667160.2177
2022-01-02 02:06:30,22679880.1707
2022-01-02 02:07:00,22692675.9497
2022-01-02 02:07:30,22705550.0917
2022-01-02 02:08:00,22718498.4127
2022-01-02 02:08:30,22731522.7377
2022-01-02 02:09:00,22744621.8987
2022-01-02 02:09:30,22757795.6467
2022-01-02 02:10:00,22771043.8077
2022-01-02 02:10:30,22784365.4757
2022-01-02 02:11:00,22797760.1247
2022-01-02 02:11:30,22811227.2497
2022-01-02 02:12:00,22824767.3157
2022-01-02 02:12:30,22838379.3197
2022-01-02 02:13:00,22852064.0957
