Time,Phase_flat,Phase_raw,Amplitude,Phase_angle
2024-04-27 07:30:45,119091336.831971,119095363.941924,39.8107170553497,-0.400678570517717
2024-04-27 07:31:15,117910167.065553,117916144.499134,112.201845430196,-0.444385122726114
2024-04-27 07:31:30,117633983.755065,117631500.963286,125.892541179417,-0.0615103499048664
2024-04-27 07:31:45,117142299.258229,117142814.684743,70.7945784384138,-0.175318608308152
2024-04-27 07:32:00,116653367.111416,116653786.791678,70.7945784384138,0.0257322606143586
2024-04-27 07:32:15,116166642.270879,116164446.985276,112.201845430196,2.13501533451212
2024-04-27 07:32:30,115669464.967296,115674764.6722,89.1250938133745,0.718419351340362
2024-04-27 07:33:00,114487232.41402,114490534.676539,112.201845430196,-0.253828503445999
2024-04-27 07:33:15,114200698.038536,114203592.409041,89.1250938133746,-2.52974940599689
2024-04-27 07:33:45,113012875.664992,113017901.089913,79.4328234724281,-1.28734123533403
2024-04-27 07:34:00,112731509.938425,112729349.964914,125.892541179417,0.307332454368027
2024-04-27 07:34:15,112236542.637108,112237257.536346,63.0957344480193,-2.78822591955749
2024-04-27 07:34:30,111745541.770943,111744840.015613,70.7945784384138,2.14462390938497
2024-04-27 07:34:45,111249983.72489,111252078.206032,100,-1.07625176936885
2024-04-27 07:35:00,110766713.465312,110759031.199094,79.4328234724281,-0.137928294372963
2024-04-27 07:35:15,110247306.042963,110265663.611484,56.2341325190349,-1.76367396281252
2024-04-27 07:35:30,-192347.074707181,-216953.964665291,112.201845430196,0.0771015080408564
2024-04-27 07:35:45,109259566.828944,109277917.670087,125.892541179417,0.88533638973028
2024-04-27 07:36:00,108791193.040911,108783537.709425,44.6683592150963,0.862841806051498
2024-04-27 07:36:15,108286871.75558,108288865.340228,112.201845430196,-0.553808375653768
2024-04-27 07:36:30,107796368.157129,107793844.203039,125.892541179417,-1.00806915709278
2024-04-27 07:37:00,-412434.537994439,-420559.809450215,112.201845430196,0.0287541359879362
2024-04-27 07:37:15,-221118.002728291,-216836.159088034,112.201845430196,-0.145398027110523
2024-04-27 07:37:30,-215686.061465332,-216832.456030021,28.1838293126445,3.1237595292585
2024-04-27 07:37:45,-217063.843663295,-216756.963809827,112.201845430196,1.35914383834529
2024-04-27 07:38:00,-216708.57236745,-216790.72537519,112.201845430196,-1.51112282602285
2024-04-27 07:38:15,-216822.888391432,-216800.894961755,35.4813389233575,-2.72981127865835
2024-04-27 07:38:30,-216729.10651618,-216734.992139141,89.1250938133745,3.0874696725616
2024-04-27 07:38:45,-216759.995589221,-216758.423519347,100,-2.66886213987133
2024-04-27 07:39:00,-216758.672326573,-216759.092930597,56.2341325190349,-1.34559949135988
2024-04-27 07:39:15,-216696.380326594,-216696.262585311,100,-1.88545258488048
2024-04-27 07:39:30,-216753.162506902,-216753.201564039,125.892541179417,-2.11896512793004
2024-04-27 07:39:45,-216724.897840297,-216724.881614482,56.2341325190349,1.01296024804466
2024-04-27 07:40:00,-216761.098044729,-216761.10505799,79.4328234724282,2.51186765983913
2024-04-27 07:40:15,-216716.586389086,-216716.583160258,125.892541179417,3.04122615205842
2024-04-27 07:40:30,-216701.241156057,-216701.243642686,63.0957344480193,-0.463096740696643
2024-04-27 07:40:45,-216712.513135872,-216712.511530929,79.4328234724281,0.831294058976183
2024-04-27 07:41:00,-216683.943952469,-216683.942641011,79.4328234724281,-2.01544907387774
2024-04-27 07:41:15,-216678.242469214,-216678.24655648,79.4328234724281,-2.59715112565957
2024-04-27 07:41:30,-216701.789297143,-216701.78619636,56.2341325190349,-1.01123782589014
2024-04-27 07:41:45,-216674.612579867,-216674.611419334,141.253754462275,1.03273822070858
2024-04-27 07:42:00,-216656.131407286,-216656.136655208,89.1250938133745,0.664354880635035
2024-04-27 07:42:15,-216673.16991657,-216673.163459652,70.7945784384138,2.47540151776573
2024-04-27 07:42:30,-216630.949141457,-216630.953020479,100,0.713879480920571
2024-04-27 07:42:45,-216650.147384408,-216650.148151455,79.4328234724281,0.365192451245716
2024-04-27 07:43:00,-216705.000856467,-216704.996841404,79.4328234724281,2.06038815685147
2024-04-27 07:43:15,-216654.686023627,-216654.688130668,112.201845430196,2.1097385394714
2024-04-27 07:43:30,-216668.126530071,-216668.130000108,125.892541179417,1.23560270986719
2024-04-27 07:43:45,-216624.129242074,-216624.123827237,89.1250938133746,1.25059355671291
2024-04-27 07:44:00,-216652.276301315,-216652.278151649,89.1250938133746,-1.76372445564568
2024-04-27 07:44:15,-216642.611769507,-216642.614612598,79.4328234724281,1.61762204491007
2024-04-27 07:44:30,-216622.041820845,-216622.037181296,70.7945784384138,-2.945170522056
2024-04-27 07:44:45,-216618.850073949,-216618.851605705,100,0.2465763746298
2024-04-27 07:45:00,-216626.57721155,-216626.580552065,50.1187233627272,-1.19737591910635
2024-04-27 07:45:15,-216646.665941963,-216646.660984327,56.2341325190349,-2.43655041051042
2024-04-27 07:45:30,-216633.687839202,-216633.691232732,141.253754462275,-2.02481826462566
2024-04-27 07:45:45,-216651.696070423,-216651.694444078,63.0957344480193,-1.18349356417395
2024-04-27 07:46:00,-216625.548216491,-216625.549481331,89.1250938133745,-0.168380860723492
2024-04-27 07:46:15,-216653.58049487,-216653.57877086,89.1250938133745,-3.06791801061565
2024-04-27 07:46:30,-216631.586680137,-216631.588251008,39.8107170553497,0.0763408009869301
2024-04-27 07:46:45,-216573.012794338,-216573.011621874,89.1250938133746,2.10155883488314
2024-04-27 07:47:00,-216666.115819518,-216666.117244508,79.4328234724282,-3.03687204459927
